MSSubClass,LotFrontage,LotArea,Street,LotConfig,Condition1,YearBuilt,RoofStyle,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,OpenPorchSF,YrSold,SalePrice
story_new,65,8450,Pave,Inside,Norm,2003,Gable,TA,PConc,Gd,TA,No,856,GasA,Ex,3,1,Gd,8,Typ,0,Attchd,61,2008,208500
old_new,80,9600,Pave,FR2,Feedr,1976,Gable,TA,CBlock,Gd,TA,Gd,1262,GasA,Ex,3,1,TA,6,Typ,1,Attchd,0,2007,181500
story_new,68,11250,Pave,Inside,Norm,2001,Gable,TA,PConc,Gd,TA,Mn,920,GasA,Ex,3,1,Gd,6,Typ,1,Attchd,42,2008,223500
story_old,60,9550,Pave,Corner,Norm,1915,Gable,TA,BrkTil,TA,Gd,No,756,GasA,Gd,3,1,Gd,7,Typ,1,Detchd,35,2006,140000
story_new,84,14260,Pave,FR2,Norm,2000,Gable,TA,PConc,Gd,TA,Av,1145,GasA,Ex,4,1,Gd,9,Typ,1,Attchd,84,2008,250000
story_finished_attic,85,14115,Pave,Inside,Norm,1993,Gable,TA,Wood,Gd,TA,No,796,GasA,Ex,1,1,TA,5,Typ,0,Attchd,30,2009,143000
old_new,75,10084,Pave,Inside,Norm,2004,Gable,TA,PConc,Ex,TA,Av,1686,GasA,Ex,3,1,Gd,7,Typ,1,Attchd,57,2007,307000
story_new,NA,10382,Pave,Corner,PosN,1973,Gable,TA,CBlock,Gd,TA,Mn,1107,GasA,Ex,3,1,TA,7,Typ,2,Attchd,204,2009,200000
story_finished_attic,51,6120,Pave,Inside,Artery,1931,Gable,TA,BrkTil,TA,TA,No,952,GasA,Gd,2,2,TA,8,Min1,2,Detchd,0,2008,129900
duplex,50,7420,Pave,Corner,Artery,1939,Gable,TA,BrkTil,TA,TA,No,991,GasA,Ex,2,2,TA,5,Typ,2,Attchd,4,2008,118000
old_new,70,11200,Pave,Inside,Norm,1965,Hip,TA,CBlock,TA,TA,No,1040,GasA,Ex,3,1,TA,5,Typ,0,Detchd,0,2008,129500
story_new,85,11924,Pave,Inside,Norm,2005,Hip,TA,PConc,Ex,TA,No,1175,GasA,Ex,4,1,Ex,11,Typ,2,BuiltIn,21,2006,345000
old_new,NA,12968,Pave,Inside,Norm,1962,Hip,TA,CBlock,TA,TA,No,912,GasA,TA,2,1,TA,4,Typ,0,Detchd,0,2008,144000
old_new,91,10652,Pave,Inside,Norm,2006,Gable,TA,PConc,Gd,TA,Av,1494,GasA,Ex,3,1,Gd,7,Typ,1,Attchd,33,2007,279500
old_new,NA,10920,Pave,Corner,Norm,1960,Hip,TA,CBlock,TA,TA,No,1253,GasA,TA,2,1,TA,5,Typ,1,Attchd,213,2008,157000
story_finished_attic,51,6120,Pave,Corner,Norm,1929,Gable,TA,BrkTil,TA,TA,No,832,GasA,Ex,2,1,TA,5,Typ,0,Detchd,112,2007,132000
old_new,NA,11241,Pave,CulDSac,Norm,1970,Gable,TA,CBlock,TA,TA,No,1004,GasA,Ex,2,1,TA,5,Typ,1,Attchd,0,2010,149000
duplex,72,10791,Pave,Inside,Norm,1967,Gable,TA,Slab,NA,NA,NA,0,GasA,TA,2,2,TA,6,Typ,0,CarPort,0,2006,90000
old_new,66,13695,Pave,Inside,RRAe,2004,Gable,TA,PConc,TA,TA,No,1114,GasA,Ex,3,1,Gd,6,Typ,0,Detchd,102,2008,159000
old_new,70,7560,Pave,Inside,Norm,1958,Hip,TA,CBlock,TA,TA,No,1029,GasA,TA,3,1,TA,6,Min1,0,Attchd,0,2009,139000
story_new,101,14215,Pave,Corner,Norm,2005,Gable,TA,PConc,Ex,TA,Av,1158,GasA,Ex,4,1,Gd,9,Typ,1,BuiltIn,154,2006,325300
story_finished_attic,57,7449,Pave,Inside,Norm,1930,Gable,TA,PConc,TA,TA,No,637,GasA,Ex,3,1,Gd,6,Typ,1,Attchd,0,2007,139400
old_new,75,9742,Pave,Inside,Norm,2002,Hip,TA,PConc,Gd,TA,No,1777,GasA,Ex,3,1,Gd,7,Typ,1,Attchd,159,2008,230000
old_new,44,4224,Pave,Inside,Norm,1976,Gable,TA,PConc,Gd,TA,No,1040,GasA,TA,3,1,TA,6,Typ,1,Attchd,110,2007,129900
old_new,NA,8246,Pave,Inside,Norm,1968,Gable,Gd,CBlock,TA,TA,Mn,1060,GasA,Ex,3,1,Gd,6,Typ,1,Attchd,90,2010,154000
old_new,110,14230,Pave,Corner,Norm,2007,Gable,TA,PConc,Gd,TA,No,1566,GasA,Ex,3,1,Gd,7,Typ,1,Attchd,56,2009,256300
old_new,60,7200,Pave,Corner,Norm,1951,Gable,TA,CBlock,TA,TA,Mn,900,GasA,TA,3,1,Gd,5,Typ,0,Detchd,32,2010,134800
old_new,98,11478,Pave,Inside,Norm,2007,Gable,TA,PConc,Ex,TA,No,1704,GasA,Ex,3,1,Gd,7,Typ,1,Attchd,50,2010,306000
old_new,47,16321,Pave,CulDSac,Norm,1957,Gable,TA,CBlock,TA,TA,Gd,1484,GasA,TA,2,1,TA,6,Typ,2,Attchd,258,2006,207500
old_old,60,6324,Pave,Inside,Feedr,1927,Gable,TA,BrkTil,TA,TA,No,520,GasA,Fa,1,1,Fa,4,Typ,0,Detchd,0,2008,68500
story_old,50,8500,Pave,Inside,Feedr,1920,Gambrel,Fa,BrkTil,TA,TA,No,649,GasA,TA,3,1,TA,6,Typ,0,Detchd,54,2008,40000
old_new,NA,8544,Pave,CulDSac,Norm,1966,Gable,TA,CBlock,TA,TA,No,1228,GasA,Gd,3,1,Gd,6,Typ,0,Attchd,65,2008,149350
old_new,85,11049,Pave,Corner,Norm,2007,Gable,TA,PConc,Ex,TA,Av,1234,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,30,2008,179900
old_new,70,10552,Pave,Inside,Norm,1959,Hip,TA,CBlock,TA,TA,No,1398,GasA,Gd,4,1,Gd,6,Typ,1,Attchd,38,2010,165500
old_new,60,7313,Pave,Inside,Norm,2005,Hip,TA,PConc,Ex,TA,No,1561,GasA,Ex,2,1,Ex,6,Typ,1,Attchd,47,2007,277500
story_new,108,13418,Pave,Inside,Norm,2004,Gable,TA,PConc,Ex,TA,Av,1117,GasA,Ex,4,1,Gd,9,Typ,1,BuiltIn,32,2006,309000
old_new,112,10859,Pave,Corner,Norm,1994,Gable,TA,PConc,Gd,TA,No,1097,GasA,Ex,3,1,TA,6,Typ,0,Attchd,64,2009,145000
old_new,74,8532,Pave,Inside,Norm,1954,Hip,TA,CBlock,TA,TA,No,1297,GasA,Gd,3,1,TA,5,Typ,1,Attchd,0,2009,153000
old_new,68,7922,Pave,Inside,Norm,1953,Gable,Gd,CBlock,TA,TA,No,1057,GasA,TA,3,1,Gd,5,Typ,0,Detchd,52,2010,109000
duplex,65,6040,Pave,Inside,Norm,1955,Gable,TA,PConc,NA,NA,NA,0,GasA,TA,2,2,Fa,6,Typ,0,NA,0,2008,82000
old_new,84,8658,Pave,Inside,Norm,1965,Gable,TA,CBlock,TA,TA,No,1088,GasA,Ex,3,1,TA,6,Typ,1,Attchd,138,2006,160000
old_new,115,16905,Pave,Inside,Norm,1959,Gable,Gd,CBlock,TA,TA,Gd,1350,GasA,Gd,2,1,TA,5,Typ,2,Attchd,104,2007,170000
split,NA,9180,Pave,CulDSac,Norm,1983,Gable,TA,CBlock,Gd,TA,Av,840,GasA,Gd,2,1,Gd,5,Typ,0,Attchd,0,2007,144000
old_new,NA,9200,Pave,CulDSac,Norm,1975,Hip,TA,CBlock,Gd,TA,Av,938,GasA,TA,3,1,TA,5,Typ,0,Detchd,0,2008,130250
old_new,70,7945,Pave,Inside,Norm,1959,Gable,TA,CBlock,TA,TA,No,1150,GasA,Ex,3,1,TA,6,Typ,0,Attchd,0,2006,141000
old_new,61,7658,Pave,Inside,Norm,2005,Hip,TA,PConc,Ex,TA,No,1752,GasA,Ex,2,1,Ex,6,Typ,1,Attchd,82,2010,319900
story_finished_attic,48,12822,Pave,CulDSac,Norm,2003,Gable,TA,PConc,Ex,TA,No,1434,GasA,Ex,1,1,Gd,6,Typ,1,Attchd,43,2009,239686
old_new,84,11096,Pave,Inside,Norm,2006,Gable,TA,PConc,Gd,TA,Av,1656,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,146,2007,249700
duplex,33,4456,Pave,Inside,Norm,1920,Gable,TA,BrkTil,TA,TA,No,736,GasA,Gd,2,3,TA,8,Typ,0,NA,0,2009,113000
old_new,66,7742,Pave,Inside,Norm,1966,Gable,TA,CBlock,TA,TA,No,955,GasA,Ex,3,1,TA,6,Typ,0,Attchd,0,2007,127000
story_new,NA,13869,Pave,Corner,Norm,1997,Gable,TA,PConc,Gd,TA,Av,794,GasA,Gd,3,1,TA,6,Typ,0,Attchd,75,2007,177000
story_finished_attic,52,6240,Pave,Inside,Norm,1934,Gable,TA,PConc,TA,TA,No,816,GasA,TA,3,1,TA,6,Typ,1,Detchd,0,2006,114500
duplex,110,8472,Grvl,Corner,RRNn,1963,Gable,TA,CBlock,Gd,TA,Gd,816,GasA,TA,2,1,TA,5,Typ,0,CarPort,0,2010,110000
old_new,68,50271,Pave,Inside,Norm,1981,Gable,TA,CBlock,Ex,TA,Gd,1842,GasA,Gd,0,1,Gd,5,Typ,1,Attchd,72,2006,385000
split,60,7134,Pave,Inside,Norm,1955,Gable,TA,CBlock,TA,TA,No,384,GasA,TA,3,1,TA,6,Min1,1,Detchd,50,2007,130000
old_new,100,10175,Pave,Inside,Norm,1964,Gable,TA,CBlock,TA,TA,No,1425,GasA,Gd,3,1,TA,7,Typ,1,Attchd,0,2008,180500
story_new,24,2645,Pave,Inside,Norm,1999,Gable,TA,PConc,Gd,TA,No,970,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,0,2009,172500
story_new,89,11645,Pave,Corner,Norm,2004,Gable,TA,PConc,Gd,TA,No,860,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,70,2006,196500
story_new,66,13682,Pave,CulDSac,Norm,2006,Hip,TA,PConc,Ex,TA,Gd,1410,GasA,Ex,3,1,Gd,10,Typ,1,BuiltIn,0,2006,438780
old_new,60,7200,Pave,Inside,Norm,1972,Gable,TA,CBlock,TA,TA,Av,780,GasA,Ex,2,1,TA,4,Typ,0,Detchd,0,2008,124900
old_new,63,13072,Pave,Inside,RRAe,2004,Gable,TA,PConc,Gd,TA,No,1158,GasA,Ex,3,1,Gd,5,Typ,0,Detchd,50,2006,158000
story_old,60,7200,Pave,Inside,Norm,1920,Gable,TA,BrkTil,TA,Fa,No,530,GasA,TA,3,1,Fa,6,Typ,0,Detchd,0,2007,101000
old_new,44,6442,Pave,Inside,Norm,2006,Gable,TA,PConc,Gd,Gd,Mn,1370,GasA,Ex,2,1,Gd,6,Typ,1,Attchd,49,2007,202500
story_old,50,10300,Pave,Inside,RRAn,1921,Gable,TA,BrkTil,TA,TA,No,576,GasA,Gd,3,1,TA,9,Typ,0,Detchd,11,2010,140000
story_new,NA,9375,Pave,Inside,Norm,1997,Gable,TA,PConc,Gd,TA,No,1057,GasA,Ex,3,1,Gd,8,Typ,0,Attchd,36,2009,219500
story_new,76,9591,Pave,Inside,Norm,2004,Gable,TA,PConc,Ex,TA,Av,1143,GasA,Ex,4,1,Gd,9,Typ,1,BuiltIn,151,2007,317000
old_new,NA,19900,Pave,Inside,PosA,1970,Gable,TA,CBlock,Gd,TA,Gd,1947,GasA,TA,3,1,TA,7,Min1,1,Attchd,0,2010,180000
old_new,72,10665,Pave,Inside,Norm,2003,Gable,TA,PConc,Gd,TA,Av,1453,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,29,2007,226000
old_old,47,4608,Pave,Corner,Artery,1945,Gable,Gd,CBlock,TA,TA,No,747,GasA,TA,2,1,TA,4,Typ,0,Attchd,0,2010,80000
story_finished_attic,81,15593,Pave,Corner,Norm,1953,Gable,TA,CBlock,TA,TA,No,1304,GasW,TA,3,1,TA,7,Typ,1,Attchd,21,2006,225000
old_new,95,13651,Pave,Inside,Norm,1973,Gable,Gd,CBlock,Gd,TA,Gd,2223,GasA,Ex,3,1,TA,8,Typ,2,Attchd,0,2007,244000
old_new,69,7599,Pave,Corner,Norm,1982,Gable,TA,CBlock,TA,TA,No,845,GasA,TA,2,1,TA,4,Typ,0,Detchd,0,2007,129500
story_new,74,10141,Pave,Corner,Norm,1998,Gable,TA,PConc,Gd,TA,No,832,GasA,Gd,3,1,TA,7,Typ,1,Attchd,94,2009,185000
old_new,85,10200,Pave,Inside,Norm,1954,Gable,TA,CBlock,TA,TA,No,1086,GasA,Gd,3,1,TA,6,Typ,0,Attchd,0,2010,144900
story_finished_attic,60,5790,Pave,Corner,Norm,1915,Gambrel,Gd,CBlock,Fa,TA,No,840,GasA,Gd,3,2,TA,8,Typ,0,Detchd,0,2010,107400
split,21,1596,Pave,Inside,Norm,1973,Gable,TA,CBlock,Gd,TA,Gd,462,GasA,TA,2,1,TA,5,Typ,0,BuiltIn,101,2009,91000
old_new,NA,8475,Pave,Inside,Norm,1956,Gable,TA,CBlock,TA,TA,No,952,GasA,Ex,2,1,TA,4,Typ,0,Detchd,0,2008,135750
story_finished_attic,50,8635,Pave,Inside,Norm,1948,Gable,TA,CBlock,TA,TA,No,672,GasA,TA,2,1,TA,6,Min1,0,Detchd,0,2008,127000
duplex,72,10778,Pave,Inside,Norm,1968,Hip,TA,CBlock,TA,TA,No,1768,GasA,TA,4,2,TA,8,Typ,0,NA,0,2010,136500
story_finished_attic,60,10440,Pave,Corner,Norm,1910,Gable,TA,PConc,TA,TA,No,440,GasA,Gd,2,1,TA,5,Typ,0,Detchd,0,2009,110000
story_new,100,13000,Pave,Corner,Norm,1968,Gable,Gd,CBlock,Gd,TA,No,896,GasA,TA,4,1,Gd,8,Typ,1,Attchd,72,2009,193500
old_new,32,4500,Pave,FR2,Norm,1998,Hip,Gd,PConc,Ex,Gd,No,1237,GasA,Ex,2,1,TA,5,Typ,0,Attchd,199,2006,153500
old_new,78,10206,Pave,Inside,Norm,2007,Gable,TA,PConc,Gd,TA,No,1563,GasA,Ex,3,1,Gd,6,Typ,1,Attchd,99,2008,245000
old_new,80,8892,Pave,Inside,Norm,1960,Gable,TA,CBlock,TA,TA,No,1065,GasA,Gd,3,1,TA,6,Typ,0,Detchd,0,2007,126500
split,NA,8530,Pave,Inside,Norm,1995,Gable,TA,PConc,Gd,TA,No,384,GasA,Gd,3,1,TA,7,Typ,1,BuiltIn,72,2009,168500
story_new,121,16059,Pave,Corner,Norm,1991,Hip,TA,CBlock,Gd,TA,No,1288,GasA,Ex,4,1,Gd,9,Typ,1,Attchd,82,2006,260000
story_new,122,11911,Pave,Inside,Norm,2005,Gable,TA,PConc,Gd,TA,Av,684,GasA,Ex,3,1,Gd,6,Typ,1,BuiltIn,38,2009,174000
story_new,40,3951,Pave,Corner,Norm,2009,Gable,TA,PConc,Gd,TA,Av,612,GasA,Ex,2,1,Gd,4,Typ,0,Detchd,234,2009,164500
story_finished_attic,105,8470,Pave,Corner,Feedr,1915,Hip,Fa,CBlock,TA,Fa,No,1013,GasA,TA,2,1,Fa,6,Typ,0,NA,0,2009,85000
old_new,60,8070,Pave,Inside,Norm,1994,Gable,TA,PConc,Gd,TA,No,990,GasA,Ex,3,1,TA,5,Typ,0,NA,0,2007,123600
old_new,60,7200,Pave,Inside,Norm,1950,Gable,TA,Slab,NA,NA,NA,0,GasA,TA,2,1,TA,4,Typ,0,Detchd,29,2006,109900
old_new,85,8500,Pave,Inside,Norm,1961,Hip,TA,CBlock,TA,TA,No,1235,GasA,TA,2,1,TA,6,Typ,0,Attchd,0,2006,98600
old_old,80,13360,Pave,Inside,Norm,1921,Gable,Gd,BrkTil,Gd,TA,No,876,GasA,Ex,2,1,TA,5,Typ,0,Detchd,0,2009,163500
duplex,60,7200,Pave,Corner,Norm,1910,Hip,TA,BrkTil,TA,Fa,Mn,1214,GasW,Ex,4,2,TA,9,Typ,1,Detchd,0,2007,133900
story_new,69,9337,Pave,Inside,Norm,1997,Gable,Gd,PConc,Gd,TA,No,824,GasA,Ex,3,1,Gd,7,Typ,0,Attchd,162,2007,204750
story_new,NA,9765,Pave,Corner,Norm,1993,Gable,Gd,PConc,Gd,Gd,No,680,GasA,Gd,3,1,TA,6,Typ,1,BuiltIn,63,2009,185000
old_new,78,10264,Pave,Inside,Norm,1999,Gable,TA,PConc,Gd,TA,Av,1588,GasA,Ex,3,1,Gd,6,Typ,0,Attchd,29,2006,214000
old_new,73,10921,Pave,Inside,Norm,1965,Hip,TA,CBlock,TA,TA,No,960,GasA,TA,3,1,TA,6,Typ,0,Attchd,0,2007,94750
old_old,85,10625,Pave,Corner,Norm,1920,Gable,TA,BrkTil,TA,TA,No,458,GasA,Fa,2,1,TA,5,Typ,0,Basment,0,2010,83000
old_new,77,9320,Pave,Inside,Norm,1959,Gable,TA,CBlock,TA,TA,No,950,GasA,Fa,3,1,TA,6,Typ,0,NA,0,2010,128950
old_new,NA,10603,Pave,Inside,Norm,1977,Gable,TA,PConc,TA,TA,Mn,1610,GasA,Gd,3,1,Gd,6,Typ,2,Attchd,68,2010,205000
story_new,77,9206,Pave,Inside,Norm,1985,Gable,TA,CBlock,Gd,TA,No,741,GasA,TA,3,1,Gd,7,Typ,1,Attchd,46,2010,178000
duplex,64,7018,Pave,Inside,Norm,1979,Gable,Fa,Slab,NA,NA,NA,0,GasA,TA,4,2,TA,8,Typ,0,Attchd,0,2009,118964
old_new,94,10402,Pave,Corner,Norm,2009,Gable,TA,PConc,Gd,TA,No,1226,GasA,Ex,3,1,Gd,6,Typ,0,Attchd,36,2010,198900
story_finished_attic,NA,7758,Pave,Corner,Norm,1931,Gable,Fa,PConc,TA,TA,No,1040,GasA,Ex,4,1,TA,7,Typ,2,Detchd,0,2007,169500
story_new,75,9375,Pave,Inside,Norm,2003,Hip,TA,PConc,Ex,TA,No,1053,GasA,Ex,3,1,Gd,9,Typ,1,Attchd,45,2008,250000
old_old,60,10800,Pave,Inside,Norm,1885,Mansard,TA,BrkTil,Fa,TA,No,641,GasA,Gd,2,1,TA,6,Typ,0,Detchd,0,2007,100000
old_new,50,6000,Pave,Inside,Norm,1948,Gable,TA,CBlock,TA,TA,No,789,GasA,Ex,2,1,TA,5,Typ,0,Detchd,0,2008,115000
story_finished_attic,85,8500,Pave,Corner,Artery,1919,Gable,TA,CBlock,TA,TA,No,793,GasW,TA,3,1,Fa,7,Typ,0,NA,0,2007,115000
old_new,105,11751,Pave,Inside,Norm,1977,Hip,TA,CBlock,Gd,TA,No,1844,GasA,Ex,3,1,TA,7,Typ,1,Attchd,122,2010,190000
