IPAddress,Duration (in seconds),Duration (in minutes),RecordedDate,LocationLatitude,LocationLongitude,language_proficiency_English,language_proficiency_French,language_proficiency_Spanish,language_proficiency_Russian,language_proficiency_Arabic,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,object_choice,gender,age,marital_status,graduation_level,employment_status,valid_picture,bonus_amount,agreed_to_sell
2.53.163.115,284,4.73,11/13/2022 11:05,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,2,6,2,6,3,5,3,5,1,IM_cHofXzQ2tkFJ01g,Male,35 - 44 years old,Single,Master's degree,Working full-time,Yes - 15,3.5,Yes
77.137.67.44,335,5.58,11/13/2022 11:06,31.5,34.75,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,3,5,3,6,3,5,3,4,3,IM_4Jcc40dsj8zuGDs,Male,35 - 44 years old,Married,Bachelor's degree,Working full-time,Yes - 14,5,No
188.64.207.101,285,4.75,11/13/2022 11:08,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,5,3,5,7,5,4,5,6,5,IM_4Jcc40dsj8zuGDs,Male,25 - 34 years old,Married,Bachelor's degree,Working full-time,No - 13,0,No
87.69.109.9,407,6.78,11/13/2022 11:38,32.0759,34.8215,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,3,5,2,4,2,6,6,1,7,5,IM_4Jcc40dsj8zuGDs,Male,55 - 64 years old,Married,Master's degree,Working full-time,No - 12,5,No
59.93.84.245,1727,28.78,11/13/2022 11:39,16.1916,75.6945,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,7,2,6,5,6,4,3,2,4,6,IM_4Jcc40dsj8zuGDs,Female,55 - 64 years old,Divorced / Separated,Bachelor's degree,Other (please specify): Traveling,Yes - 11,0,No
93.173.65.162,405,6.75,11/13/2022 11:44,32.0803,34.7805,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,2,6,3,6,3,5,1,5,2,IM_78wglioPC0XZGrY,Female,35 - 44 years old,Married,Master's degree,Working part-time,Yes - 10,3.5,Yes
5.28.132.65,341,5.68,11/13/2022 14:36,32.0123,34.7705,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,5,4,4,4,4,1,4,3,3,IM_9tpaeFzdkiuV5bw,Female,25 - 34 years old,Married,Bachelor's degree,Working part-time,Yes - 9,2,No
5.28.187.175,1343,22.38,11/14/2022 3:22,32.0759,34.8215,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,4,5,3,5,5,5,4,3,3,3,IM_cHofXzQ2tkFJ01g,Female,25 - 34 years old,Married,Bachelor's degree,A homemaker or stay-at-home parent,Yes - 8,1,No
176.230.171.80,323,5.38,11/15/2022 1:54,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,Reading and understanding,No Proficiency,No Proficiency,4,6,4,3,6,4,5,3,6,5,IM_cHofXzQ2tkFJ01g,Male,25 - 34 years old,Living with a partner,Bachelor's degree,Working full-time,Yes - 7,5,No
109.226.45.96,307,5.12,11/15/2022 1:55,32.0759,34.8215,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,No Proficiency,No Proficiency,5,3,1,2,4,5,4,1,7,6,IM_4Jcc40dsj8zuGDs,Female,55 - 64 years old,Married,Bachelor's degree,Working full-time,Yes - 6 ,1,No
62.219.21.30,379,6.32,11/15/2022 1:57,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,Reading and understanding,No Proficiency,No Proficiency,No Proficiency,4,1,7,1,7,7,7,1,7,1,IM_cHofXzQ2tkFJ01g,Female,65+  years old,Divorced / Separated,Bachelor's degree,Working full-time,Yes - 5,0,Yes
2.54.38.93,293,4.88,11/15/2022 2:01,32.1033,34.8879,Native / Bilingual or Full Professional Proficiency,No Proficiency,Speaking only,No Proficiency,Speaking only,3,4,2,3,5,3,4,1,4,4,IM_78wglioPC0XZGrY,Female,25 - 34 years old,Married,Master's degree,Working full-time,Yes - 4,3.5,No
109.253.211.194,210,3.5,11/15/2022 2:29,32.0803,34.7805,Native / Bilingual or Full Professional Proficiency,No Proficiency,No Proficiency,Speaking only,No Proficiency,1,7,7,4,5,4,5,2,4,4,IM_cHofXzQ2tkFJ01g,Female,25 - 34 years old,Divorced / Separated,Phd,Working full-time,No - 3,2,Yes
