,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,age_bin
0,3,1,0,0,0,0,1,6,1,1,4
1,7,1,3,1,0,0,1,6,1,1,4
2,7,1,3,0,2,0,1,6,1,1,2
3,0,1,1,0,0,0,1,6,1,1,2
4,7,1,3,0,0,2,1,6,1,1,4
5,7,1,2,1,0,0,1,6,1,1,3
6,0,1,5,0,0,0,1,6,1,1,4
7,1,1,7,1,0,0,1,6,1,1,3
8,9,2,5,0,2,0,1,6,1,1,1
9,7,2,3,0,2,0,1,6,1,1,1
10,1,1,7,1,0,0,1,6,1,1,3
11,7,2,3,0,2,0,1,6,1,1,1
12,1,2,3,0,0,2,1,6,1,1,1
13,3,0,0,0,2,0,1,6,1,1,4
14,1,1,1,0,2,0,1,6,1,1,2
15,5,1,2,1,2,2,1,6,1,1,4
16,1,1,1,0,2,0,1,6,1,1,2
17,1,1,1,1,2,2,1,6,1,1,3
18,1,1,2,0,2,2,1,6,1,1,3
19,4,2,2,1,0,0,1,6,1,1,2
20,10,1,3,0,0,0,1,6,1,1,1
21,1,1,0,1,2,0,1,6,1,1,4
22,5,2,3,0,2,0,1,6,1,1,4
23,9,2,3,0,2,0,1,6,1,1,3
24,0,1,3,0,2,0,1,6,1,1,2
25,9,1,6,0,0,2,1,6,1,1,2
26,9,1,7,0,2,0,1,6,1,1,4
27,6,1,2,1,0,0,1,6,1,1,2
28,9,2,6,1,0,0,1,6,1,1,4
29,11,1,6,1,1,1,1,6,1,1,4
30,0,1,7,0,0,0,1,6,1,1,3
31,9,1,7,0,2,0,1,6,1,1,4
32,1,1,7,0,0,0,1,6,1,1,3
33,4,1,0,1,2,0,1,6,1,1,4
34,1,0,0,0,0,0,1,6,1,1,4
35,11,1,0,1,2,0,1,6,1,1,4
36,7,1,3,0,0,0,1,6,1,1,2
37,9,1,2,0,2,0,1,6,1,1,4
38,0,1,6,0,2,0,1,6,1,1,3
39,9,1,0,0,2,0,1,6,1,1,4
40,4,3,6,0,2,0,1,6,1,1,4
41,2,1,3,0,2,0,1,6,1,1,2
42,0,2,5,0,0,0,1,6,1,1,2
43,0,1,6,0,0,2,1,6,1,1,4
44,0,1,6,1,2,0,1,6,1,1,3
45,9,2,5,1,0,0,1,6,1,1,3
46,0,1,6,0,2,2,1,6,1,1,4
47,1,1,2,0,0,2,1,6,1,1,2
48,0,1,6,0,2,0,1,6,1,1,2
49,1,1,2,0,2,0,1,6,1,1,3
50,0,1,3,0,0,0,1,6,1,1,4
51,3,1,0,0,0,2,1,6,1,1,2
