energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,genre
0.654,0.09,134.989,0.0369,0.258,1.42e-05,4,0.528,11,211275,-5.394,0.181,0,spotify:track:1zeH4lyTUZBp567d6K6zTM,electropop indie electropop indie poptimism vapor soul
0.725,0.1009999999999999,96.97,0.0323,0.00201,2.02e-05,4,0.605,5,193293,-5.729,0.539,1,spotify:track:0lmMtDQ2ElasKU2qDAE6NN,pop
0.7190000000000001,0.146,123.075,0.039,0.0696,0.0,4,0.545,11,195213,-5.424,0.196,0,spotify:track:6t7089pe4VklogK683LdPM,neo mellow pop pop rock
0.589,0.209,106.085,0.0352,0.595,0.0,4,0.76,0,171800,-6.501,0.648,1,spotify:track:2GWIkTxEn3zTBkadr0GPQd,indie anthem-folk indie cafe pop indiecoustica
0.912,0.118,126.023,0.0377,0.0272,0.000443,4,0.727,8,179217,-3.594,0.6709999999999999,0,spotify:track:7qZOnik9K8Mv987ccBjwwj,big room deep big room edm electro house future house house pop pop edm tropical house
0.73,0.0897,171.005,0.0598,0.00146,9.54e-05,4,0.514,1,200040,-5.934,0.3339999999999999,1,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,canadian contemporary r&b canadian pop pop
0.765,0.203,174.021,0.111,0.4639999999999999,3.29e-06,4,0.691,8,246000,-4.727,0.855,1,spotify:track:06s3QtMJVXw1AJX3UfvZG1,latin reggaeton flow trap latino
0.693,0.173,168.169,0.0545,0.00536,0.0,4,0.5710000000000001,6,232253,-8.234,0.3929999999999999,0,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,latin reggaeton reggaeton colombiano
0.7190000000000001,0.0736,100.021,0.0346,0.00285,8.1e-05,4,0.667,7,237520,-5.371,0.7170000000000001,0,spotify:track:7szuecWAPwGoV1e5vGu8tl,canadian contemporary r&b canadian pop pop
0.4029999999999999,0.0777,74.95,0.0755,0.7440000000000001,0.000667,4,0.465,11,247227,-8.895,0.0687,0,spotify:track:5fohLPNqO6TqwrZ7BoUWUT,canadian contemporary r&b canadian pop pop
0.653,0.0969,121.348,0.0503,0.457,0.0,4,0.5489999999999999,0,187173,-7.47,0.287,1,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,indie pop modern rock rock
0.799,0.349,127.952,0.0492,0.00323,0.03,4,0.5539999999999999,2,204693,-6.339,0.353,1,spotify:track:4GWnDzLsP31cul3K88pKVn,electropop europop eurovision swedish pop
0.701,0.0513,99.984,0.0944,0.0165,0.00365,4,0.8390000000000001,9,136200,-6.029,0.273,1,spotify:track:25c15KvAiyM8DNmDoFqwzm,big room dutch house edm electro house pop progressive electro house tropical house
0.8390000000000001,0.178,91.037,0.0477,0.0837,0.0,4,0.631,5,216245,-4.485,0.569,0,spotify:track:1qAHVZRJNdvEHpawbz7wtQ,deep acoustic pop
0.701,0.0589,126.975,0.0458,0.257,7.52e-06,4,0.871,5,198440,-5.593999999999999,0.716,0,spotify:track:5r5cp9IpziiIsR6b93vcnQ,alternative dance australian dance australian electropop electropop indie pop indietronica neo-synthpop new rave pop
0.522,0.138,139.991,0.0655,0.109,1.06e-05,4,0.609,0,198402,-5.569,0.3,0,spotify:track:1ooP2mxAp73HtHb4KJ8dtB,pop
0.65,0.2689999999999999,107.992,0.0331,0.0487,0.0502,4,0.679,10,253773,-7.902,0.674,0,spotify:track:6hmtNel4OKlBpBcTO7ao3o,downtempo electronica
0.747,0.0279999999999999,109.022,0.124,0.0393,6.63e-06,4,0.511,0,229285,-5.904,0.564,1,spotify:track:56khZQKfmdTikYbbZLgxAY,pop
0.4589999999999999,0.11,79.916,0.0321,0.919,0.722,4,0.557,4,202536,-7.781000000000001,0.1889999999999999,0,spotify:track:6potEImiklXkwD9qFzpu15,pop
